Add offer to my profile,Angebot meinem Profil hinzufügen
Continue watching,Weiter ansehen
Extra options,Zusätzliche Optionen
Favorite channels,Lieblingskanäle
Favorite movies,Lieblingsfilme
Favourite channels,Lieblingskanäle
Favourite movies,Lieblingsfilme
Hide Adult,Erwachsenen-Bereich ausblenden
Manage Favorites,Favoriten verwalten
My Account,Mein Konto
Packages,Pakete
Premium channels packages,Pakete Premium-Kanäle
Reminders,Erinnerungen
Remove Favorite,Favorit entfernen
Remove Favorites,Favoriten entfernen
Remove Reminder,Erinnerung entfernen
Remove Reminders,Erinnerungen entfernen
Rental history,Mietgeschichte
Show Adult,Erwachsenen-Bereich zeigen
TV,TV
Vouchers,Gutscheine
Watch favorite channels,Lieblingskanäle anschauen
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,"Sie können jetzt kostenlos einen Film aus dem Katalog von {owner} anschauen. Klicken Sie auf die Taste, um zum Katalog {owner} zu gehen."
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,"Sie können jetzt kostenlos den Film {movie_name} anschauen. Klicken Sie auf die Taste, um zu den Einzelheiten des Films zu gehen."
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,Sie können jetzt kostenlos die {owner}-Kanäle anschauen. Zusätzlich können Sie auch den Katalog  {owner2} in {vod_catalog_name} genießen.
Your voucher code was accepted,Ihr Gutschein wurde akzeptiert.
actions_header,AKTIONEN
enter here your 14-digit voucher code,Geben Sie hier Ihren 14-stelligen Gutschein-Code ein
onDemand,Video On Demand
per mth,pro Monat
