Add offer to my profile,Ajánlat hozzáadása a profilomhoz
Continue watching,Tévézés folytatása
Extra options,Extra lehetőségek
Favorite channels,Kedvenc csatornák
Favorite movies,Kedvenc filmek
Favourite channels,Kedvenc csatornák
Favourite movies,Kedvenc filmek
Hide Adult,Felnőtt tartalom elrejtése
Manage Favorites,Kedvencek kezelése
My Account,A fiókom
Packages,Csomagok
Premium channels packages,Prémiumcsatorna-csomagok
Reminders,Emlékeztetők
Remove Favorite,Kedvenc eltávolítása
Remove Favorites,Kedvencek eltávolítása
Remove Reminder,Emlékeztető eltávolítása
Remove Reminders,Emlékeztetők eltávolítása
Rental history,Kölcsönzési előzmények
Show Adult,Felnőtt tartalom mutatása
TV,TV
Vouchers,Kuponok
Watch favorite channels,Kedvenc csatorna nézése
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,Most ingyen nézhet meg egy filmet a következőtől: {owner}. Nyomja meg a gombot a következő katalógusának megnyitásához: {owner}.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,Most ingyen nézheti meg ezt a filmet: {movie_name}. Nyomja meg a gombot a film részletes adatainak megtekintéséhez.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,Most ingyen nézheti a következő csatornáit: {owner}. Ráadásul a következő katalógusát ({vod_catalog_name}) is élvezheti: {owner2}.
Your voucher code was accepted,A kuponkód elfogadva
actions_header,Műveletek
enter here your 14-digit voucher code,ide írja be a 14 jegyű kuponkódot
onDemand,Video on Demand
per mth,/ hó
