Add offer to my profile,Pridať ponuku k môjmu profilu
Continue watching,Pokračovať v sledovaní
Extra options,Ďalšie možnosti
Favorite channels,obľúbené kanály
Favorite movies,Obľúbené filmy
Favourite channels,Obľúbené kanály
Favourite movies,Obľúbené filmy
Hide Adult,Skryť obsah pre dospelých
Manage Favorites,Spravovať obľúbené položky
My Account,Môj účet
Packages,Balíčky
Premium channels packages,Prémiové programové balíčky
Reminders,pripomienky
Remove Favorite,Odstrániť obľúbenú položku
Remove Favorites,Odstrániť obľúbené položky
Remove Reminder,Odstrániť pripomienku
Remove Reminders,Odstrániť pripomienky
Rental history,História predplatenia
Show Adult,Ukázať obsah pre dospelých
TV,TV
Vouchers,Poukazy
Watch favorite channels,Sledovať obľúbené kanály
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,Teraz môžete sledovať film z {owner} zadarmo. Kliknite na tlačidlo pre prechod na {owner} katalóg.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,Teraz môžete sledovať film {movie_name} zadarmo. Kliknite na tlačidlo pre prechod na podrobnosti o filme.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,Teraz môžete sledovať {owner} kanály zadarmo. Okrem toho si môžete taktiež prezerať {owner2} katalóg v {vod_catalog_name}.
Your voucher code was accepted,Kód Vášho poukazu bol prijatý
actions_header,AKCIA
enter here your 14-digit voucher code,tu zadajte 14-miestny kód vášho poukazu
onDemand,Video na požiadanie
per mth,na mesiac
