Actions,Functies
Audio {1},Audio {1}
BACK,Terug
Bookmark,Bladwijzer
CAST,Cast
Enter your 4 digit purchase code here,Vul hier de 4 cijferige betaalcode in
FAVORITE,Favoriet
GENRE,Thema's
More,Meer
Multiaudio,Multiaudio
PROMO,promo
Pause TV,Pauze TV
Prime,Vanavond
RATE THIS MOVIE,Beoordeel deze film
RENT,Huur
RENT MOVIE,Huur film
Recommendations,Aanbevelingen
Remove channel favorite,Favoriet kanaal uit
Renting failed,Het huren is mislukt
Set channel favorite,Favoriet kanaal aan
Social,Sociaal
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Film bekijken
airdate:,uitzenddatum:
catchup,gemist
live,live
off,off
recording,opname
replay,gemist
{d:Td} days remaining,{d:Td} dagen beschikbaar
{hours} hours remaining,{hours} uur beschikbaar
{mins} minutes remaining,{mins} minuten beschikbaar
