All channels,All channels
"All recordings will be deleted, and will be gone forever.","All recordings will be deleted, and will be gone forever."
Cannot play the recording,Can’t play the recording
Days,Days
Delete,Delete
Enter a pin code,Enter a pin code
Genres,Genres
Hide Adult,Hide Adult
Hide adult,Hide adult
My account,My account
New,New
No recordings available,No recordings available
Planned,Planned
Remove recordings,Remove recordings
Select channel,Select channel
Settings,Settings
Show Adult,Show Adult
Show adult,Show adult
Today,Today
Tomorrow,Tomorrow
Yesterday,Yesterday
You can record {amount_hours} hours and store them for {amount_days} days.,You can record {amount_hours} hours and store them for {amount_days} days.
You have the {product_name}.,You have the {product_name}.
rec_len_mins,min
rec_len_secs,sec
recordings_all,All recordings
recordings_new,New recordings
recordings_planned,Planned recordings
{dd} days remaining,{dd} days remaining
{hours} hours remaining,{hours} hours remaining
{hours} hours {minutes} minutes available,{hours} hours {minutes} minutes available
{mins} minutes remaining,{mins} minutes remaining
{minutes} minutes available,{minutes} minutes available
