Checking for updates.,﻿Vérification des mises à jour.
Don't switch off the power untill the installation has finished. Your TV decoder will restart automaticaly.,N'éteignez pas tant que l'installation n'est pas terminée. Votre décodeur TV redémarrera automatiquement.
Downloading the new firmware to your decoder.,Téléchargement du nouveau logiciel sur votre décodeur.
Error occured. TV decoder will reboot automatically.,Une erreur est survenue. Le décodeur TV redémarrera automatiquement.
Firmware upgrade,Mise à niveau du logiciel
Installing the new firmware on your decoder.,Installation du nouveau logiciel sur votre décodeur.
No update available now. It will be available at {date}. TV decoder will reboot automatically.,Aucune mise à jour n'est actuellement disponible. Elle sera disponible le {date}. Le décodeur TV redémarrera automatiquement.
No update available. TV decoder will reboot automatically.,Aucune mise à jour disponible. Le décodeur TV redémarrera automatiquement.
Updating,﻿Mise à jour en cours
Your TV decoder has been updated. It will reboot automatically.,Votre décodeur TV a été mis à jour. Il redémarrera automatiquement.
