All Programs,Alle programma's
April,April
August,Augustus
BadUserNameOrPasswordLoginErrorMessage,verkeerde gebruikersnaam of wachtwoord
"Before you can play this video, you need to have the '{product_name}'","Voordat je deze video kan afspelen, heb je het '{product_name}' nodig"
Before you can playback recordings on this device you need to upgrade to the {offer} offer.,"Het afspelen op dit apparaat is pas mogelijk, wanneer u in het bezit bent van de {offer} optie."
Before you can record this channel you need to have the {offer} offer,Dit kanaal kan alleen worden opgenomen als u in het bezit van bent van de {offer} optie.
COOKIE_INFO,Door gebruik te maken van deze website gaat u akkoord met het gebruik van cookies op deze website van
Cannot record this channel,Dit kanaal kan niet worden opgenomen
Cast,Cast
Channels,Zenders
Code incorrect,Foutieve pincode
Connect,Verbinden
Continue,Verder gaan
Continue watching,Verder gaan met kijken
Date,Datum
Days,Dagen
December,December
Director,Regisseur
Duration,Duur
EOD,Erotheek
Erotic,Erotheek
Error occured,Er is een fout opgetreden
Favorite,Favoriet
Favorite Movies,Favorieten
Favorite catchups,Favoriet TV Gemist
Favorite channels,Favorieten zenders
Favorites,Favorieten
Feature not available description,Er is op dit moment geen content beschikbaar.
February,Februari
Films,Films
Films & Series,Films & Series
Friday,Vrijdag
Genre:,Genre:
Genres,Films
I have read the general terms and fully agree.,Ik ga akkoord.
IFRAME_PROGRAM_INHOME_MASSAGE,Try to watch this program on box
"It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk.",Je maandelijkse limiet is bereikt. Neem contact op met onze klantenservice om uw limiet deze maand te verhogen.
January,Januari
July,Juli
June,Juni
LOGIN_BUTTON_TEXT,inloggen
Live Programs,Nu op TV
March,Maart
May,Mei
Menu Settings Mobile services Generate a code,Menu > Instellingen > Mobiele diensten > Genereer een code
Monday,Maandag
More information,Meer informatie
NO_PROGRAM_INFORMATION,No program information
New,Nog te bekijken
New recordings,Nieuwe opnames
Newest,Nieuw
Newest movies,Nieuwe films
No,Nee
No playback on this device.,Afspelen niet mogelijk.
NoMoreRoom,geen ruimte meer beschikbaar
November,November
OK,Ok
October,Oktober
Offers,Filmpas
On Demand,Op Aanvraag
POPUP_LOGIN_DESC,Voordat je gebruik kunt maken van deze mogelijkheden moet je inloggen.
POPUP_LOGIN_TITLE,Inloggen
POPUP_PARENTAL_CONFIRM,POPUP_PARENTAL_CONFIRM
POPUP_PARENTAL_ENTER_PIN,Voordat deze content kan worden bekeken moet je de ouderlijk toezicht pincode invoeren.
POPUP_PARENTAL_MESSAGE,POPUP_PARENTAL_MESSAGE
POPUP_PARENTAL_TITLE,Ouderlijk toezicht
POPUP_PROGRAM_DEVICE_NOT_AVAILABLE,Dit kanaal is niet beschikbaar op het huidige apparaaat
POPUP_PROGRAM_INFO_MESSAGE,This channel has no EPG
POPUP_PROGRAM_INFO_TITLE,Cannot open this channel
POPUP_PROGRAM_TOGGLE_RECORDING,Opnemen
POPUP_PROGRAM_TOGGLE_REMINDER,Herinnering
POPUP_PROGRAM_WATCH,Bekijken
Pair to your Online TV decoder,Verbinden met je Set Top Box
Planned,Geplande opnames
Please enter pin code to rent {quality} quality for {price},Vul hieronder de betaalpincode in om de {quality} kwaliteit te huren voor {price}
Please enter rental PIN,Vul uw pincode in
Please enter your,Vul de ouderlijk toezicht
Please enter your four digit,Vul hier je vier cijferige
Popular movies,Populaire films
Quality,Kwaliteit
Recommendations,Aanbevelingen
Record,Opnemen
Recording Removal Popup Question,Weet u zeker dat u de opname wilt verwijderen?
Recording Removal Popup Title,Opname verwijderen
Recordings,Mijn Opnames
Register,Gebruikersaccount
Reminders,Herinneringen
Remove recording,Opname verwijderen
Rent movie,Huur film
Rent {type} for {price},Huur {type} voor {price}
Rental history,Huur history
Rental period,Huurperiode
Replay,Replay
Saturday,Zaterdag
Search,Zoek...
Season,Season
Select the quality you want to look at,Welke kwaliteit wilt u bekijken
Select the quality you want to rent,Welke kwaliteit wilt u huren?
September,September
Serie,Serie
Series,Series
Silverlight is not supported,Silverlight wordt niet ondersteund
Sorry,Sorry
Sorry the feature is not available,Nog niet beschikbaar
Sport,Sport
Sunday,Zondag
TOD,TV Gemist
TV,TV Gids
TV Gemist,TV Gemist
TV Gids,TV Gids
TV Guide,TV Gids
TV on demand,TV Gemist
TV recommendations,Aanbevelingen
The following costs will be charged:,De volgende kosten worden in rekening gebracht:
This channel is not available on the current device,Dit kanaal is niet beschikbaar op het huidige apparaaat
This content contains erotic material which is not suited for visitors younger then 18 years!,Deze pagina bevat erotisch materiaal en is niet geschikt voor bezoekers onder de 18 jaar!
This episode is part of your {offer} offer. You can watch this episode unlimited times.,Deze aflevering is onderdeel van de {offer} optie. De aflevering kan onbeperkt worden bekeken.
This episode is still available for you and can still be watched for {timeLeft}.,Deze aflevering kan worden bekeken omdat hij nog {timeLeft} binnen de huurperiode valt.
This movie is part of your {offer} offer. You can watch this movie unlimited times.,Deze film is onderdeel van de {offer} optie. De film kan onbeperkt worden bekeken.
This movie is still available for you and can still be watched for {timeLeft}.,Deze film kan worden bekeken omdat hij nog {timeLeft} binnen de huurperiode valt.
This program is not recorded yet,het programma is nog niet opgenomen
This program is part of your {offer} offer. You can watch this program unlimited times.,Dit programma is onderdeel van de {offer} optie. Het programma kan onbeperkt worden bekeken.
This program is still available for you and can still be watched for {timeLeft}.,Dit programma kan worden bekeken omdat het nog {timeLeft} binnen de huurperiode valt.
Thursday,Donderdag
Title,Titel
"To fully enjoy the interactive features, please login.","Om van alle features te kunnen genieten, moet je inloggen."
"To fully enjoy the interactive features, you can connect this PC portal you your account. Go on your TV decoder to:",Verbind deze website met de Set Top Box. Ga op de Set Top Box naar:
Today,Vandaag
Tomorrow,Morgen
Tonight on TV,Vanavond op TV
Total price for 48h rental period,Te betalen
Trailer,Trailer
Tuesday,Dinsdag
Unable to playback Replay,Deze video kan niet worden afgespeeld
VOD,Videotheek
VOD Erotic,Erotheek
Video On Demand,VOD
Watch {type},{type} bekijken
Wednesday,Woensdag
Year,Jaar
Yes,Ja
Yestarday,gisteren
"Your browser does not support Silverlight player, please user another browser to watch this content.",Deze browser-versie ondersteund Silverlight player niet. Gebruik een andere browser om deze content te bekijken
Your reminders,Mijn herinneringen
add channel to TV favorites,Zender toevoegen aan favorieten
add to bookmarks,toevoegen aan favorieten
alphabeticaly,alfabet
and,en
april,Apr
august,Aug
available,beschikbaar
available for {timeLeft} hours,beschikbaar voor {timeLeft} uur
back,terug
bookmark,favoriet
cancel,Annuleren
cast,cast
channel,zender
choices,Keuzemogelijkheden
confirm,bevestigen
confirmation,Betaalverificatie
continue,Verder
date,datum
december,Dec
enable 18+,18+ video's tonen
episode,aflevering
episodeCapital,Aflevering
featured TV channel,Aangeraden TV zender
february,Feb
friday,Vrijdag
from,from
generated mobile services code,code in
gratis,gratis
hd,Hoge definitie (HD)
hours,uur
hours available,uur beschikbaar
info,info
informations,Info
january,Jan
july,Jul
june,Jun
live TV,Nu op TV
logout,Uitloggen
march,Mrt
may,Mei
message,bericht
minute,minuut
minutes,minuten
monday,Maandag
month,maand
months,maanden
movie,film
movie rental overview text,"Deze video is beschikbaar voor 30 dagen als je hem huurt. Zodra je de video start, kan je hem nog 48 uur bekijken."
movieCapital,Film
my account,Mijn Account
new VOD releases,Nieuwe Films
new and channel,Nieuw en zender
newest,nieuwste
next on,zometeen op
november,Nov
now,Nu
october,Okt
or,of
other episodes,meer afleveringen
parental pin code to continue,pincode in om de pagina te betreden
password,Wachtwoord
payment PIN,pincode
please choose device to unpair before you pair this device,"Voordat u het apparaat kunt koppelen, moet u één van de volgende apparaten loskoppelen door erop te klikken"
price,Prijs
program,programma
programCapital,Programma
quality selection,Betaalmogelijkheden
recording,Opnemen
reminder,Herinnering
reminders,rerinneringen
remove,loskoppelen
remove channel from TV favorites,uit de favoriete zenders verwijderen
remove from bookmarks,verwijder uit favoriete films & series
remove recording,opname verwijderen
results,Resultaten
results for,resultaten voor
saturday,Zaterdag
sd,Standaarddefinitie (SD)
see all,alles bekijken
september,Sep
suggestions,Aanraders
sunday,Zondag
thursday,Donderdag
today,Vandaag
tomorrow,morgen
tonight,Vanavond op TV!
tonight on TV,Vanavond op TV
tuesday,Dinsdag
userexpired,userexpired
username,Gebruikersnaam
watch live,Bekijken
watch trailer,Kijk trailer
wednesday,Woensdag
welcome,Welkom
yesterday,Gisteren
you have,Je hebt
{offer} offer,{offer} optie
